METHOD	FULL_PATH	MODULE	AUTH	ROLE	CONTROLLER_HANDLER	SERVICE	NOTES
GET	/api/v1/admin/analytics/regional	admin	yes	admin|super_admin	controller.getRegionalPerformance	analytics.service	analytics.routes.ts
GET	/api/v1/admin/analytics/revenue	admin	yes	admin|super_admin	controller.getRevenueBreakdown	analytics.service	analytics.routes.ts
GET	/api/v1/admin/analytics/rider-performance	admin	yes	admin|super_admin	controller.getRiderPerformance	analytics.service	analytics.routes.ts
GET	/api/v1/admin/analytics/timeseries	admin	yes	admin|super_admin	controller.getTimeSeriesData	analytics.service	analytics.routes.ts
GET	/api/v1/admin/app-settings	admin	partial	admin|super_admin	PERMISSIONS.ADMIN_CONFIG_READ	app-settings.service	app-settings.routes.ts
PUT	/api/v1/admin/app-settings	admin	partial	admin|super_admin	PERMISSIONS.ADMIN_CONFIG_WRITE	app-settings.service	app-settings.routes.ts
GET	/api/v1/admin/applications	admin	yes	admin|super_admin	inline-handler	-	MOCK/stub hardcoded success
PATCH	/api/v1/admin/applications/:id	admin	yes	admin|super_admin	inline-handler	-	MOCK/stub hardcoded success
PUT	/api/v1/admin/applications/:id	admin	yes	admin|super_admin	inline-handler	-	MOCK/stub hardcoded success
GET	/api/v1/admin/applications/:id/health	admin	yes	admin|super_admin	inline-handler	-	MOCK/stub hardcoded success
POST	/api/v1/admin/applications/:id/test	admin	yes	admin|super_admin	inline-handler	-	MOCK/stub hardcoded success
POST	/api/v1/admin/applications/:id/test-connection	admin	yes	admin|super_admin	inline-handler	-	MOCK/stub hardcoded success
POST	/api/v1/admin/auth/login	admin	no	-	authController.login	admin.service	admin login/logout — no JWT
POST	/api/v1/admin/auth/logout	admin	no	-	authController.logout	admin.service	admin login/logout — no JWT
POST	/api/v1/admin/cache/clear	admin	partial	admin|super_admin;permission-gated	inline-handler	-	protectedRouter
GET	/api/v1/admin/cache/stats	admin	partial	admin|super_admin;permission-gated	inline-handler	-	protectedRouter
GET	/api/v1/admin/cities	admin	yes	admin|super_admin	masterDataController.listCities	master-data.service	master-data.routes.ts
POST	/api/v1/admin/cities	admin	yes	admin|super_admin	masterDataController.createCity	master-data.service	master-data.routes.ts
DELETE	/api/v1/admin/cities/:id	admin	yes	admin|super_admin	masterDataController.deleteCity	master-data.service	master-data.routes.ts
GET	/api/v1/admin/cities/:id	admin	yes	admin|super_admin	masterDataController.getCity	master-data.service	master-data.routes.ts
PUT	/api/v1/admin/cities/:id	admin	yes	admin|super_admin	masterDataController.updateCity	master-data.service	master-data.routes.ts
GET	/api/v1/admin/compliance/audits	admin	yes	admin|super_admin	controller.listAudits	compliance.service	compliance.routes.ts
POST	/api/v1/admin/compliance/audits	admin	yes	admin|super_admin	controller.createAudit	compliance.service	compliance.routes.ts
PATCH	/api/v1/admin/compliance/audits/:auditId/findings/:findingId	admin	yes	admin|super_admin	controller.updateFindingStatus	compliance.service	compliance.routes.ts
GET	/api/v1/admin/compliance/certifications	admin	yes	admin|super_admin	controller.listCertifications	compliance.service	compliance.routes.ts
GET	/api/v1/admin/compliance/documents	admin	yes	admin|super_admin	controller.listDocuments	compliance.service	compliance.routes.ts
POST	/api/v1/admin/compliance/documents	admin	yes	admin|super_admin	controller.uploadDocument	compliance.service	compliance.routes.ts
DELETE	/api/v1/admin/compliance/documents/:id	admin	yes	admin|super_admin	controller.deleteDocument	compliance.service	compliance.routes.ts
PATCH	/api/v1/admin/compliance/documents/:id	admin	yes	admin|super_admin	controller.updateDocument	compliance.service	compliance.routes.ts
GET	/api/v1/admin/compliance/metrics	admin	yes	admin|super_admin	controller.getMetrics	compliance.service	compliance.routes.ts
GET	/api/v1/admin/compliance/policies	admin	yes	admin|super_admin	controller.listPolicies	compliance.service	compliance.routes.ts
POST	/api/v1/admin/compliance/policies/:id/acknowledge	admin	yes	admin|super_admin	controller.acknowledgePolicy	compliance.service	compliance.routes.ts
POST	/api/v1/admin/compliance/reports/generate	admin	yes	admin|super_admin	controller.generateReport	compliance.service	compliance.routes.ts
GET	/api/v1/admin/compliance/violations	admin	yes	admin|super_admin	controller.listViolations	compliance.service	compliance.routes.ts
GET	/api/v1/admin/customers	admin	yes	admin|super_admin	customersCtrl.listCustomers	admin.service	protectedRouter
POST	/api/v1/admin/customers	admin	yes	admin|super_admin	customersCtrl.createCustomer	admin.service	protectedRouter
GET	/api/v1/admin/customers/:id	admin	yes	admin|super_admin	customersCtrl.getCustomerById	admin.service	protectedRouter
PATCH	/api/v1/admin/customers/:id	admin	yes	admin|super_admin	customersCtrl.updateCustomer	admin.service	protectedRouter
GET	/api/v1/admin/customers/:id/addresses	admin	yes	admin|super_admin	customersCtrl.getCustomerAddresses	admin.service	protectedRouter
GET	/api/v1/admin/customers/:id/orders	admin	yes	admin|super_admin	customersCtrl.getCustomerOrders	admin.service	protectedRouter
GET	/api/v1/admin/customers/:id/password-info	admin	yes	admin|super_admin	customersCtrl.getCustomerPasswordInfo	admin.service	protectedRouter
GET	/api/v1/admin/customers/:id/payment-methods	admin	yes	admin|super_admin	customersCtrl.getCustomerPaymentMethods	admin.service	protectedRouter
GET	/api/v1/admin/customers/:id/refunds	admin	yes	admin|super_admin	customersCtrl.getCustomerRefunds	admin.service	protectedRouter
PUT	/api/v1/admin/customers/:id/reset-password	admin	yes	admin|super_admin	customersCtrl.resetCustomerPassword	admin.service	protectedRouter
GET	/api/v1/admin/customers/:id/risk	admin	yes	admin|super_admin	customersCtrl.getCustomerRisk	admin.service	protectedRouter
PUT	/api/v1/admin/customers/:id/set-password	admin	yes	admin|super_admin	customersCtrl.setCustomerPassword	admin.service	protectedRouter
GET	/api/v1/admin/customers/:id/tickets	admin	yes	admin|super_admin	customersCtrl.getCustomerTickets	admin.service	protectedRouter
GET	/api/v1/admin/customers/:id/wallet	admin	yes	admin|super_admin	customersCtrl.getCustomerWallet	admin.service	protectedRouter
POST	/api/v1/admin/customers/:id/wallet/credit	admin	yes	admin|super_admin	customersCtrl.creditCustomerWallet	admin.service	protectedRouter
GET	/api/v1/admin/customers/stats	admin	yes	admin|super_admin	customersCtrl.getCustomerStats	admin.service	protectedRouter
GET	/api/v1/admin/finance/accounting/accounts	finance	yes	admin-jwt	ctrl.getAccounts	finance.service	-
POST	/api/v1/admin/finance/accounting/journal	finance	yes	admin-jwt	ctrl.createJournalEntry	finance.service	-
GET	/api/v1/admin/finance/accounting/journal/:id	finance	yes	admin-jwt	ctrl.getJournalDetails	finance.service	-
GET	/api/v1/admin/finance/accounting/ledger	finance	yes	admin-jwt	ctrl.getLedgerEntries	finance.service	-
GET	/api/v1/admin/finance/accounting/summary	finance	yes	admin-jwt	ctrl.getAccountingSummary	finance.service	-
POST	/api/v1/admin/finance/accounting/sync	finance	yes	admin-jwt	ctrl.syncLedger	finance.service	-
GET	/api/v1/admin/finance/alerts	finance	yes	admin-jwt	ctrl.getAlerts	finance.service	-
GET	/api/v1/admin/finance/alerts/:id	finance	yes	admin-jwt	ctrl.getAlertDetails	finance.service	-
POST	/api/v1/admin/finance/alerts/:id/action	finance	yes	admin-jwt	ctrl.performAlertAction	finance.service	-
POST	/api/v1/admin/finance/alerts/clear-resolved	finance	yes	admin-jwt	ctrl.clearResolvedAlerts	finance.service	-
DELETE	/api/v1/admin/finance/alerts/resolved	finance	yes	admin-jwt	ctrl.clearResolvedAlerts	finance.service	-
POST	/api/v1/admin/finance/alerts/resolved/clear	finance	yes	admin-jwt	ctrl.clearResolvedAlerts	finance.service	-
GET	/api/v1/admin/finance/analytics/cash-flow	finance	yes	admin-jwt	ctrl.getCashFlow	finance.service	-
GET	/api/v1/admin/finance/analytics/expense-breakdown	finance	yes	admin-jwt	ctrl.getExpenseBreakdown	finance.service	-
POST	/api/v1/admin/finance/analytics/export	finance	yes	admin-jwt	ctrl.exportAnalyticsReport	finance.service	-
GET	/api/v1/admin/finance/analytics/revenue-growth	finance	yes	admin-jwt	ctrl.getRevenueGrowth	finance.service	-
GET	/api/v1/admin/finance/approvals	finance	yes	admin-jwt	ctrl.getApprovalTasks	finance.service	-
GET	/api/v1/admin/finance/approvals/:id	finance	yes	admin-jwt	ctrl.getTaskDetails	finance.service	-
POST	/api/v1/admin/finance/approvals/:id/decision	finance	yes	admin-jwt	ctrl.submitTaskDecision	finance.service	-
GET	/api/v1/admin/finance/approvals/summary	finance	yes	admin-jwt	ctrl.getApprovalSummary	finance.service	-
GET	/api/v1/admin/finance/approvals/tasks	finance	yes	admin-jwt	ctrl.getApprovalTasks	finance.service	-
GET	/api/v1/admin/finance/approvals/tasks/:id	finance	yes	admin-jwt	ctrl.getTaskDetails	finance.service	-
POST	/api/v1/admin/finance/approvals/tasks/:id/decision	finance	yes	admin-jwt	ctrl.submitTaskDecision	finance.service	-
GET	/api/v1/admin/finance/config/commission-slabs	finance	yes	admin-jwt	ctrl.getCommissionSlabs	finance.service	-
POST	/api/v1/admin/finance/config/commission-slabs	finance	yes	admin-jwt	ctrl.createCommissionSlab	finance.service	-
PUT	/api/v1/admin/finance/config/commission-slabs/:slabId	finance	yes	admin-jwt	ctrl.updateCommissionSlab	finance.service	-
GET	/api/v1/admin/finance/config/financial-limits	finance	yes	admin-jwt	ctrl.getFinancialLimits	finance.service	-
PUT	/api/v1/admin/finance/config/financial-limits/:limitId	finance	yes	admin-jwt	ctrl.updateFinancialLimit	finance.service	-
GET	/api/v1/admin/finance/config/financial-year	finance	yes	admin-jwt	ctrl.getFinancialYear	finance.service	-
PUT	/api/v1/admin/finance/config/financial-year	finance	yes	admin-jwt	ctrl.updateFinancialYear	finance.service	-
GET	/api/v1/admin/finance/config/invoice-settings	finance	yes	admin-jwt	ctrl.getInvoiceSettings	finance.service	-
PUT	/api/v1/admin/finance/config/invoice-settings	finance	yes	admin-jwt	ctrl.updateInvoiceSettings	finance.service	-
GET	/api/v1/admin/finance/config/payment-terms	finance	yes	admin-jwt	ctrl.getPaymentTerms	finance.service	-
PUT	/api/v1/admin/finance/config/payment-terms/:termId	finance	yes	admin-jwt	ctrl.updatePaymentTerm	finance.service	-
GET	/api/v1/admin/finance/config/payout-schedules	finance	yes	admin-jwt	ctrl.getPayoutSchedules	finance.service	-
POST	/api/v1/admin/finance/config/payout-schedules	finance	yes	admin-jwt	ctrl.createPayoutSchedule	finance.service	-
PUT	/api/v1/admin/finance/config/payout-schedules/:scheduleId	finance	yes	admin-jwt	ctrl.updatePayoutSchedule	finance.service	-
GET	/api/v1/admin/finance/config/reconciliation-rules	finance	yes	admin-jwt	ctrl.getReconciliationRules	finance.service	-
PUT	/api/v1/admin/finance/config/reconciliation-rules/:ruleId	finance	yes	admin-jwt	ctrl.updateReconciliationRule	finance.service	-
GET	/api/v1/admin/finance/config/refund-policies	finance	yes	admin-jwt	ctrl.getRefundPolicies	finance.service	-
PUT	/api/v1/admin/finance/config/refund-policies/:policyId	finance	yes	admin-jwt	ctrl.updateRefundPolicy	finance.service	-
GET	/api/v1/admin/finance/config/tax-rules	finance	yes	admin-jwt	ctrl.getTaxRules	finance.service	-
POST	/api/v1/admin/finance/config/tax-rules	finance	yes	admin-jwt	ctrl.createTaxRule	finance.service	-
PUT	/api/v1/admin/finance/config/tax-rules/:ruleId	finance	yes	admin-jwt	ctrl.updateTaxRule	finance.service	-
GET	/api/v1/admin/finance/customer-payments	finance	yes	admin-jwt	ctrl.getCustomerPayments	finance.service	-
GET	/api/v1/admin/finance/customer-payments/:id	finance	yes	admin-jwt	ctrl.getCustomerPaymentDetails	finance.service	-
POST	/api/v1/admin/finance/customer-payments/:id/retry	finance	yes	admin-jwt	ctrl.retryCustomerPayment	finance.service	-
GET	/api/v1/admin/finance/dashboard/daily-metrics	finance	yes	admin-jwt	ctrl.getDailyMetrics	finance.service	-
POST	/api/v1/admin/finance/dashboard/export	finance	yes	admin-jwt	ctrl.exportFinanceReport	finance.service	-
GET	/api/v1/admin/finance/dashboard/gateway-status	finance	yes	admin-jwt	ctrl.getGatewayStatus	finance.service	-
GET	/api/v1/admin/finance/dashboard/hourly-trends	finance	yes	admin-jwt	ctrl.getHourlyTrends	finance.service	-
GET	/api/v1/admin/finance/dashboard/live-transactions	finance	yes	admin-jwt	ctrl.getLiveTransactions	finance.service	-
GET	/api/v1/admin/finance/dashboard/payment-method-split	finance	yes	admin-jwt	ctrl.getPaymentMethodSplit	finance.service	-
GET	/api/v1/admin/finance/dashboard/summary	finance	yes	admin-jwt	ctrl.getFinanceSummary	finance.service	-
GET	/api/v1/admin/finance/dashboard/wallet-liability	finance	yes	admin-jwt	ctrl.getWalletLiability	finance.service	-
GET	/api/v1/admin/finance/invoices	finance	yes	admin-jwt	ctrl.getInvoices	finance.service	-
POST	/api/v1/admin/finance/invoices	finance	yes	admin-jwt	ctrl.createInvoice	finance.service	-
GET	/api/v1/admin/finance/invoices/:id	finance	yes	admin-jwt	ctrl.getInvoiceDetails	finance.service	-
POST	/api/v1/admin/finance/invoices/:id/mark-paid	finance	yes	admin-jwt	ctrl.markInvoicePaid	finance.service	-
POST	/api/v1/admin/finance/invoices/:id/reminder	finance	yes	admin-jwt	ctrl.sendReminder	finance.service	-
POST	/api/v1/admin/finance/invoices/:id/send	finance	yes	admin-jwt	ctrl.sendInvoice	finance.service	-
POST	/api/v1/admin/finance/invoices/:id/send-reminder	finance	yes	admin-jwt	ctrl.sendReminder	finance.service	-
PATCH	/api/v1/admin/finance/invoices/:id/status	finance	yes	admin-jwt	ctrl.updateInvoiceStatus	finance.service	-
GET	/api/v1/admin/finance/invoices/summary	finance	yes	admin-jwt	ctrl.getInvoiceSummary	finance.service	-
GET	/api/v1/admin/finance/picker-attendance	finance	yes	admin-jwt	ctrl.getPickerAttendance	finance.service	-
GET	/api/v1/admin/finance/picker-earnings/:pickerId/breakdown	finance	yes	admin-jwt	ctrl.getPickerEarningsBreakdown	finance.service	-
GET	/api/v1/admin/finance/picker-earnings/:pickerId/wallet	finance	yes	admin-jwt	ctrl.getPickerWalletBalance	finance.service	-
GET	/api/v1/admin/finance/picker-transactions	finance	yes	admin-jwt	ctrl.listAllPickerTransactions	finance.service	-
GET	/api/v1/admin/finance/picker-withdrawals	finance	yes	admin-jwt	ctrl.list	finance.service	-
GET	/api/v1/admin/finance/picker-withdrawals/:id	finance	yes	admin-jwt	ctrl.getDetails	finance.service	-
PATCH	/api/v1/admin/finance/picker-withdrawals/:id	finance	yes	admin-jwt	ctrl.updateAction	finance.service	-
GET	/api/v1/admin/finance/picker-withdrawals/:pickerId/earnings-breakdown	finance	yes	admin-jwt	ctrl.getPickerEarningsBreakdown	finance.service	-
GET	/api/v1/admin/finance/picker-withdrawals/:pickerId/wallet-balance	finance	yes	admin-jwt	ctrl.getPickerWalletBalance	finance.service	-
GET	/api/v1/admin/finance/reconciliation/exceptions	finance	yes	admin-jwt	ctrl.getExceptions	finance.service	-
POST	/api/v1/admin/finance/reconciliation/exceptions/:id/investigate	finance	yes	admin-jwt	ctrl.investigateException	finance.service	-
POST	/api/v1/admin/finance/reconciliation/exceptions/:id/resolve	finance	yes	admin-jwt	ctrl.resolveException	finance.service	-
GET	/api/v1/admin/finance/reconciliation/gateways	finance	yes	admin-jwt	ctrl.getAvailableGateways	finance.service	-
GET	/api/v1/admin/finance/reconciliation/gateways/:id	finance	yes	admin-jwt	ctrl.getGatewayDetails	finance.service	-
POST	/api/v1/admin/finance/reconciliation/run	finance	yes	admin-jwt	ctrl.runReconciliation	finance.service	-
GET	/api/v1/admin/finance/reconciliation/runs/:id	finance	yes	admin-jwt	ctrl.getRunStatus	finance.service	-
GET	/api/v1/admin/finance/reconciliation/summary	finance	yes	admin-jwt	ctrl.getReconSummary	finance.service	-
GET	/api/v1/admin/finance/refunds/:id	finance	yes	admin-jwt	ctrl.getRefundDetails	finance.service	-
POST	/api/v1/admin/finance/refunds/:id/approve	finance	yes	admin-jwt	ctrl.approveRefund	finance.service	-
POST	/api/v1/admin/finance/refunds/:id/complete	finance	yes	admin-jwt	ctrl.markCompleted	finance.service	-
POST	/api/v1/admin/finance/refunds/:id/mark-completed	finance	yes	admin-jwt	ctrl.markCompleted	finance.service	-
POST	/api/v1/admin/finance/refunds/:id/reject	finance	yes	admin-jwt	ctrl.rejectRefund	finance.service	-
GET	/api/v1/admin/finance/refunds/chargebacks	finance	yes	admin-jwt	ctrl.getChargebacks	finance.service	-
GET	/api/v1/admin/finance/refunds/queue	finance	yes	admin-jwt	ctrl.getRefundQueue	finance.service	-
GET	/api/v1/admin/finance/refunds/summary	finance	yes	admin-jwt	ctrl.getRefundsSummary	finance.service	-
GET	/api/v1/admin/finance/refunds/wallet-transactions	finance	yes	admin-jwt	ctrl.getWalletTransactions	finance.service	-
GET	/api/v1/admin/finance/rider-cash/:riderId	finance	yes	admin-jwt	ctrl.getRiderPaymentDetails	finance.service	-
GET	/api/v1/admin/finance/rider-cash/cod-reconciliation	finance	yes	admin-jwt	ctrl.getCodReconciliation	finance.service	-
GET	/api/v1/admin/finance/rider-cash/payouts	finance	yes	admin-jwt	ctrl.getRiderPayouts	finance.service	-
GET	/api/v1/admin/finance/rider-cash/riders/:riderId/payment-details	finance	yes	admin-jwt	ctrl.getRiderPaymentDetails	finance.service	-
GET	/api/v1/admin/finance/rider-cash/summary	finance	yes	admin-jwt	ctrl.getRiderCashSummary	finance.service	-
GET	/api/v1/admin/finance/vendor-payments/invoices	finance	yes	admin-jwt	ctrl.getVendorInvoices	finance.service	-
POST	/api/v1/admin/finance/vendor-payments/invoices	finance	yes	admin-jwt	ctrl.uploadVendorInvoice	finance.service	-
GET	/api/v1/admin/finance/vendor-payments/invoices/:id	finance	yes	admin-jwt	ctrl.getVendorInvoiceDetails	finance.service	-
POST	/api/v1/admin/finance/vendor-payments/invoices/:id/approve	finance	yes	admin-jwt	ctrl.approveVendorInvoice	finance.service	-
POST	/api/v1/admin/finance/vendor-payments/invoices/:id/mark-paid	finance	yes	admin-jwt	ctrl.markVendorInvoicePaid	finance.service	-
POST	/api/v1/admin/finance/vendor-payments/invoices/:id/reject	finance	yes	admin-jwt	ctrl.rejectVendorInvoice	finance.service	-
POST	/api/v1/admin/finance/vendor-payments/invoices/bulk-approve	finance	yes	admin-jwt	ctrl.bulkApproveVendorInvoices	finance.service	-
GET	/api/v1/admin/finance/vendor-payments/payments	finance	yes	admin-jwt	ctrl.listPayments	finance.service	-
POST	/api/v1/admin/finance/vendor-payments/payments	finance	yes	admin-jwt	ctrl.createVendorPayment	finance.service	-
GET	/api/v1/admin/finance/vendor-payments/payments/:paymentId	finance	yes	admin-jwt	ctrl.getPayment	finance.service	-
POST	/api/v1/admin/finance/vendor-payments/payments/:paymentId/advance	finance	yes	admin-jwt	ctrl.advanceWorkflowStep	finance.service	-
POST	/api/v1/admin/finance/vendor-payments/payments/:paymentId/cancel	finance	yes	admin-jwt	ctrl.cancelVendorPayment	finance.service	-
POST	/api/v1/admin/finance/vendor-payments/payments/:paymentId/invoices/:invoiceId/workflow/advance	finance	yes	admin-jwt	ctrl.advanceWorkflowStep	finance.service	-
GET	/api/v1/admin/finance/vendor-payments/summary	finance	yes	admin-jwt	ctrl.getVendorPaymentsSummary	finance.service	-
GET	/api/v1/admin/finance/vendor-payments/vendors	finance	yes	admin-jwt	ctrl.getVendors	finance.service	-
GET	/api/v1/admin/finance/wallet-transactions	finance	yes	admin-jwt	ctrl.getWalletTransactions	finance.service	-
GET	/api/v1/admin/fraud/alerts	admin	yes	admin|super_admin	controller.listAlerts	fraud.service	fraud.routes.ts
GET	/api/v1/admin/fraud/alerts/:id	admin	yes	admin|super_admin	controller.getAlert	fraud.service	fraud.routes.ts
PATCH	/api/v1/admin/fraud/alerts/:id	admin	yes	admin|super_admin	controller.updateAlert	fraud.service	fraud.routes.ts
GET	/api/v1/admin/fraud/blocked	admin	yes	admin|super_admin	controller.listBlockedEntities	fraud.service	fraud.routes.ts
POST	/api/v1/admin/fraud/blocked	admin	yes	admin|super_admin	controller.createBlockedEntity	fraud.service	fraud.routes.ts
DELETE	/api/v1/admin/fraud/blocked/:id	admin	yes	admin|super_admin	controller.unblockEntity	fraud.service	fraud.routes.ts
GET	/api/v1/admin/fraud/chargebacks	admin	yes	admin|super_admin	controller.listChargebacks	fraud.service	fraud.routes.ts
PATCH	/api/v1/admin/fraud/chargebacks/:id	admin	yes	admin|super_admin	controller.updateChargeback	fraud.service	fraud.routes.ts
GET	/api/v1/admin/fraud/investigations	admin	yes	admin|super_admin	controller.listInvestigations	fraud.service	fraud.routes.ts
GET	/api/v1/admin/fraud/metrics	admin	yes	admin|super_admin	controller.getMetrics	fraud.service	fraud.routes.ts
GET	/api/v1/admin/fraud/patterns	admin	yes	admin|super_admin	controller.listFraudPatterns	fraud.service	fraud.routes.ts
GET	/api/v1/admin/fraud/risk-profiles	admin	yes	admin|super_admin	controller.listRiskProfiles	fraud.service	fraud.routes.ts
GET	/api/v1/admin/fraud/rules	admin	yes	admin|super_admin	controller.listFraudRules	fraud.service	fraud.routes.ts
PATCH	/api/v1/admin/fraud/rules/:id/toggle	admin	yes	admin|super_admin	controller.toggleFraudRule	fraud.service	fraud.routes.ts
GET	/api/v1/admin/integrations	admin	yes	admin|super_admin	integrationController.list	integration.service	integration.routes.ts
PATCH	/api/v1/admin/integrations/:id	admin	yes	admin|super_admin	integrationController.toggle	integration.service	integration.routes.ts
PUT	/api/v1/admin/integrations/:id	admin	yes	admin|super_admin	integrationController.update	integration.service	integration.routes.ts
POST	/api/v1/admin/integrations/:id/test	admin	yes	admin|super_admin	integrationController.test	integration.service	integration.routes.ts
GET	/api/v1/admin/integrations/api-keys	admin	yes	admin|super_admin	integrationController.listApiKeys	integration.service	integration.routes.ts
POST	/api/v1/admin/integrations/api-keys	admin	yes	admin|super_admin	integrationController.createApiKey	integration.service	integration.routes.ts
DELETE	/api/v1/admin/integrations/api-keys/:keyId	admin	yes	admin|super_admin	integrationController.revokeApiKey	integration.service	integration.routes.ts
GET	/api/v1/admin/integrations/health	admin	yes	admin|super_admin	integrationController.health	integration.service	integration.routes.ts
GET	/api/v1/admin/integrations/logs	admin	yes	admin|super_admin	integrationController.listLogs	integration.service	integration.routes.ts
GET	/api/v1/admin/integrations/stats	admin	yes	admin|super_admin	integrationController.stats	integration.service	integration.routes.ts
GET	/api/v1/admin/integrations/webhooks	admin	yes	admin|super_admin	integrationController.listWebhooks	integration.service	integration.routes.ts
POST	/api/v1/admin/integrations/webhooks	admin	yes	admin|super_admin	integrationController.createWebhook	integration.service	integration.routes.ts
POST	/api/v1/admin/integrations/webhooks/:webhookId/retry	admin	yes	admin|super_admin	integrationController.retryWebhook	integration.service	integration.routes.ts
GET	/api/v1/admin/notifications/analytics	admin	yes	admin|super_admin	controller.getAnalytics	notification-campaign.service	notification-campaign.routes.ts
GET	/api/v1/admin/notifications/automation	admin	yes	admin|super_admin	controller.listAutomation	notification-campaign.service	notification-campaign.routes.ts
POST	/api/v1/admin/notifications/automation	admin	yes	admin|super_admin	controller.createAutomation	notification-campaign.service	notification-campaign.routes.ts
PUT	/api/v1/admin/notifications/automation/:id	admin	yes	admin|super_admin	controller.updateAutomation	notification-campaign.service	notification-campaign.routes.ts
GET	/api/v1/admin/notifications/campaigns	admin	yes	admin|super_admin	controller.listCampaigns	notification-campaign.service	notification-campaign.routes.ts
POST	/api/v1/admin/notifications/campaigns	admin	yes	admin|super_admin	controller.createCampaign	notification-campaign.service	notification-campaign.routes.ts
GET	/api/v1/admin/notifications/campaigns/:id	admin	yes	admin|super_admin	controller.getCampaignById	notification-campaign.service	notification-campaign.routes.ts
PUT	/api/v1/admin/notifications/campaigns/:id	admin	yes	admin|super_admin	controller.updateCampaignStatus	notification-campaign.service	notification-campaign.routes.ts
GET	/api/v1/admin/notifications/channels	admin	yes	admin|super_admin	controller.getChannels	notification-campaign.service	notification-campaign.routes.ts
GET	/api/v1/admin/notifications/history	admin	yes	admin|super_admin	controller.listHistory	notification-campaign.service	notification-campaign.routes.ts
POST	/api/v1/admin/notifications/history/:id/retry	admin	yes	admin|super_admin	controller.retryHistory	notification-campaign.service	notification-campaign.routes.ts
POST	/api/v1/admin/notifications/history/retry-failed	admin	yes	admin|super_admin	controller.retryFailedBatch	notification-campaign.service	notification-campaign.routes.ts
GET	/api/v1/admin/notifications/scheduled	admin	yes	admin|super_admin	controller.listScheduled	notification-campaign.service	notification-campaign.routes.ts
GET	/api/v1/admin/notifications/templates	admin	yes	admin|super_admin	controller.listTemplates	notification-campaign.service	notification-campaign.routes.ts
POST	/api/v1/admin/notifications/templates	admin	yes	admin|super_admin	controller.createTemplate	notification-campaign.service	notification-campaign.routes.ts
DELETE	/api/v1/admin/notifications/templates/:id	admin	yes	admin|super_admin	controller.deleteTemplate	notification-campaign.service	notification-campaign.routes.ts
PUT	/api/v1/admin/notifications/templates/:id	admin	yes	admin|super_admin	controller.updateTemplate	notification-campaign.service	notification-campaign.routes.ts
GET	/api/v1/admin/notifications/timeseries	admin	yes	admin|super_admin	controller.getTimeSeries	notification-campaign.service	notification-campaign.routes.ts
GET	/api/v1/admin/orders	admin	yes	admin|super_admin	adminOrdersCtrl.listAdminOrders	admin.service	protectedRouter
POST	/api/v1/admin/orders	admin	yes	admin|super_admin	adminOrdersCtrl.placeOrderOnBehalf	admin.service	protectedRouter
